DOCUMENT ID,PARTY TYPE,NAME,school,BOROUGH,BLOCK,LOT,STREET NUMBER,STREET NAME,DOC. TYPE,DOC. DATE,DOC. AMOUNT,boro_label
2024091200541007,1,NEW YORK UNIVERSITY,New York University,1,888,1401,1,PARK AVE,,,,Manhattan
2024091200541007,1,NEW YORK UNIVERSITY,New York University,1,888,1203,1,PARK AVENUE,,,,Manhattan
2024091200541007,1,NEW YORK UNIVERSITY,New York University,1,888,1402,1,PARK AVE,,,,Manhattan
2024091800117001,1,NEW YORK UNIVERSITY,New York University,1,888,1402,1,PARK AVE,,,,Manhattan
2024091800117001,1,NEW YORK UNIVERSITY,New York University,1,888,1401,1,PARK AVE,,,,Manhattan
2024091800117001,1,NEW YORK UNIVERSITY,New York University,1,888,1203,1,PARK AVENUE,,,,Manhattan
2024092500405001,2,NEW YORK UNIVERSITY,New York University,3,1162,1403,529,PARK PLACE,,,,Brooklyn
2024082200562001,2,NEW YORK UNIVERSITY,New York University,1,461,6,35,COOPER SQUARE,DEED,08/15/2024,69200000,Manhattan
2024081400339001,1,NEW YORK UNIVERSITY,New York University,1,1139,1502,1980,BROADWAY,DEED,08/13/2024,0,Manhattan
2024081400339001,1,NEW YORK UNIVERSITY,New York University,1,1139,1501,1980,BROADWAY,DEED,08/13/2024,0,Manhattan
2024081400339001,1,NEW YORK UNIVERSITY,New York University,1,1139,1503,1980,BROADWAY,DEED,08/13/2024,0,Manhattan
