DOCUMENT ID,RECORD TYPE,PARTY TYPE,NAME,ADDRESS 1,ADDRESS 2,COUNTRY,CITY,STATE,ZIP,GOOD THROUGH DATE,owner_group,BOROUGH,BLOCK,LOT,STREET NUMBER,STREET NAME,DOC. TYPE,DOC. DATE,DOC. AMOUNT,boro_label
2025052100171001,P,2,NEW YORK UNIVERSITY,70 WASHINGTON SQUARE SOUTH,,US,NEW YORK,NY,10012,2025 May 31 12:00:00 AM,New York University,1,547,5,24,WAVERLY PLACE,,,,Manhattan
2025052100171001,P,2,NEW YORK UNIVERSITY,70 WASHINGTON SQUARE SOUTH,,US,NEW YORK,NY,10012,2025 May 31 12:00:00 AM,New York University,1,547,8,23,WASHINGTON PLACE,,,,Manhattan
2025052100171001,P,2,NEW YORK UNIVERSITY,70 WASHINGTON SQUARE SOUTH,,US,NEW YORK,NY,10012,2025 May 31 12:00:00 AM,New York University,1,546,11,35,WEST 4 STREET,,,,Manhattan
2025052100171001,P,2,NEW YORK UNIVERSITY,70 WASHINGTON SQUARE SOUTH,,US,NEW YORK,NY,10012,2025 May 31 12:00:00 AM,New York University,1,548,21,25,WAVERLY PLACE,,,,Manhattan
2025052100171001,P,2,NEW YORK UNIVERSITY,70 WASHINGTON SQUARE SOUTH,,US,NEW YORK,NY,10012,2025 May 31 12:00:00 AM,New York University,1,540,14,130,MAC DOUGAL STREET,,,,Manhattan
2025052100171001,P,2,NEW YORK UNIVERSITY,70 WASHINGTON SQUARE SOUTH,,US,NEW YORK,NY,10012,2025 May 31 12:00:00 AM,New York University,1,552,26,37,WASHINGTON SQUARE W,,,,Manhattan
2025052100171001,P,2,NEW YORK UNIVERSITY,70 WASHINGTON SQUARE SOUTH,,US,NEW YORK,NY,10012,2025 May 31 12:00:00 AM,New York University,1,541,18,51,WASHINGTON SQUARE S,,,,Manhattan
2025052100091001,P,2,NEW YORK UNIVERSITY,70 WASHINGTON SQ SOUTH,,US,NEW YORK,NY,10012,2025 May 31 12:00:00 AM,New York University,1,930,34,421,1 AVENUE,,,,Manhattan
2025052100091001,P,2,NEW YORK UNIVERSITY,70 WASHINGTON SQ SOUTH,,US,NEW YORK,NY,10012,2025 May 31 12:00:00 AM,New York University,1,962,100,433,EAST 25 STREET,,,,Manhattan
2025052100091001,P,2,NEW YORK UNIVERSITY,70 WASHINGTON SQ SOUTH,,US,NEW YORK,NY,10012,2025 May 31 12:00:00 AM,New York University,1,931,21,334,EAST 26 STREET,,,,Manhattan
2025052000248003,P,1,FORDHAM UNIVERSITY,441 EAST FORDHAM RD,,US,BRONX,NY,10458,2025 May 31 12:00:00 AM,Fordham University,2,3273,1,441,EAST FORDHAM ROAD,,,,Bronx
2025052700277001,P,1,NYU REALTY TRUST 1,33 EAST 70TH STREET,,US,NEW YORK,NY,10021,2025 May 31 12:00:00 AM,New York University,1,1385,1102,33,EAST 70TH STREET,,,,Manhattan
2025051500657001,P,1,FORDHAM UNIVERSITY,441 EAST FORDHAM RD,,US,BRONX,NY,10458,2025 May 31 12:00:00 AM,Fordham University,1,1132,1,106,COLUMBUS AVENUE,,,,Manhattan
2025022400816001,P,2,NEW YORK UNIVERSITY,550 FIRST AVENUE,,US,NEW YORK,NY,10016,2025 Mar 31 12:00:00 AM,New York University,1,1291,1105,555,MADISON AVE,DEEDO,02/10/2025,0,Manhattan
2025022400816001,P,2,NEW YORK UNIVERSITY,550 FIRST AVENUE,,US,NEW YORK,NY,10016,2025 Mar 31 12:00:00 AM,New York University,1,1291,1102,555,MADISON AVE,DEEDO,02/10/2025,0,Manhattan
2025022400816001,P,2,NEW YORK UNIVERSITY,550 FIRST AVENUE,,US,NEW YORK,NY,10016,2025 Mar 31 12:00:00 AM,New York University,1,1291,1104,555,MADISON AVE,DEEDO,02/10/2025,0,Manhattan
2025022400816001,P,2,NEW YORK UNIVERSITY,550 FIRST AVENUE,,US,NEW YORK,NY,10016,2025 Mar 31 12:00:00 AM,New York University,1,1291,1101,555,MADISON AVE,DEEDO,02/10/2025,0,Manhattan
