school,boro_label,BLOCK,LOT,STREET NUMBER,STREET NAME,NAME,PARTY TYPE,DOC. TYPE,DOC. DATE,is_new
Columbia University,Manhattan,1963,25,,,COLUMBIA UNIVERSITY,2,,,True
Columbia University,Manhattan,35,9999,,,COLUMBIA UNIVERSITYNYC,2,DEED,,True
Columbia University,Manhattan,1884,11,,,COLUMBIA UNIV IN NYCTR,2,DEED,,False
Pratt Institute,Brooklyn,1933,70,372,DE KALB AVENUE,PRATT INSTITUTE,2,,,True
New York University,Manhattan,1373,1473,425,MAIN STREET,NEW YORK UNIVERSITY,1,DEED,07/20/2012,True
Columbia University,Queens,16295,30,417,BEACH 144 STREET,THE TRUSTEES OF COLUMBIA UNIV. IN THE CITY OF NY,1,DEED,05/12/2008,True
New York University,Brooklyn,476,1096,505,COURT STREET,NEW YORK UNIVERSITY,2,,,True
The New School,Brooklyn,301,35,,,NEW SCHOOL FOR SOCIAL RESEARCH,2,,,True
New York University,Manhattan,969,5,,,NEW YORK UNIVERSITY,2,,,True
New York University,Manhattan,1373,1391,425,MAIN STREET,NEW YORK UNIVERSITY,2,DEED,08/09/2007,True
New York University,Queens,7167,3,73-43,179 STREET,NEW YORK UNIVERSITY,2,,,True
Columbia University,Manhattan,1995,35,619,WEST 125 STREET,THE TRUSTEES OF COLUMBIA UNIVERSITY IN THE CITY OF,1,,,True
Columbia University,Manhattan,1994,59,,,COLUMBIA UNIVERSITYTR,2,DEED,,True
New York University,Bronx,3228,49,,,NEW YORK UNIVERSITY,1,DEED,07/30/1973,True
New York University,Bronx,3228,32,,,NEW YORK UNIVERSITY,1,DEED,07/30/1973,True
New York University,Bronx,3234,25,,,NEW YORK UNIVERSITY,1,DEED,07/30/1973,True
New York University,Bronx,3224,34,,,NEW YORK UNIVERSITY,1,DEED,07/30/1973,True
New York University,Bronx,3232,103,,,NEW YORK UNIVERSITY,1,DEED,07/30/1973,True
New York University,Bronx,3224,15,,,NEW YORK UNIVERSITY,1,DEED,07/30/1973,True
New York University,Bronx,3224,50,,,NEW YORK UNIVERSITY,1,DEED,07/30/1973,True
New York University,Bronx,3228,39,,,NEW YORK UNIVERSITY,1,DEED,07/30/1973,True
New York University,Bronx,3228,58,,,NEW YORK UNIVERSITY,1,DEED,07/30/1973,True
New York University,Bronx,3228,34,,,NEW YORK UNIVERSITY,1,DEED,07/30/1973,True
New York University,Bronx,3234,28,,,NEW YORK UNIVERSITY,1,DEED,07/30/1973,True
New York University,Bronx,3224,36,,,NEW YORK UNIVERSITY,1,DEED,07/30/1973,True
New York University,Bronx,3223,1,,,NEW YORK UNIVERSITY,1,DEED,07/30/1973,True
New York University,Bronx,3224,37,,,NEW YORK UNIVERSITY,1,DEED,07/30/1973,True
New York University,Bronx,3228,63,,,NEW YORK UNIVERSITY,1,DEED,07/30/1973,True
New York University,Bronx,3232,102,,,NEW YORK UNIVERSITY,1,DEED,07/30/1973,True
New York University,Bronx,3232,78,,,NEW YORK UNIVERSITY,1,DEED,07/30/1973,True
New York University,Bronx,3217,1,,,NEW YORK UNIVERSITY,1,DEED,07/30/1973,True
New York University,Bronx,3224,41,,,NEW YORK UNIVERSITY,1,DEED,07/30/1973,True
New York University,Bronx,3232,108,,,NEW YORK UNIVERSITY,1,DEED,07/30/1973,True
New York University,Bronx,3217,6,,,NEW YORK UNIVERSITY,1,DEED,07/30/1973,True
New York University,Bronx,3236,25,,,NEW YORK UNIVERSITY,1,DEED,07/30/1973,True
New York University,Bronx,3224,7,,,NEW YORK UNIVERSITY,1,DEED,07/30/1973,True
New York University,Bronx,3220,35,,,NEW YORK UNIVERSITY,1,DEED,07/30/1973,True
New York University,Bronx,3224,42,,,NEW YORK UNIVERSITY,1,DEED,07/30/1973,True
New York University,Bronx,3232,70,,,NEW YORK UNIVERSITY,1,DEED,07/30/1973,True
New York University,Bronx,3224,46,,,NEW YORK UNIVERSITY,1,DEED,07/30/1973,True
New York University,Bronx,3224,44,,,NEW YORK UNIVERSITY,1,DEED,07/30/1973,True
New York University,Bronx,3224,39,,,NEW YORK UNIVERSITY,1,DEED,07/30/1973,True
New York University,Bronx,3232,110,,,NEW YORK UNIVERSITY,1,DEED,07/30/1973,True
New York University,Bronx,3228,33,,,NEW YORK UNIVERSITY,1,DEED,07/30/1973,True
New York University,Bronx,3228,41,,,NEW YORK UNIVERSITY,1,DEED,07/30/1973,True
New York University,Bronx,3224,9,,,NEW YORK UNIVERSITY,1,DEED,07/30/1973,True
New York University,Bronx,3224,1,,,NEW YORK UNIVERSITY,1,DEED,07/30/1973,True
New York University,Bronx,3228,62,,,NEW YORK UNIVERSITY,1,DEED,07/30/1973,True
New York University,Bronx,3217,4,,,NEW YORK UNIVERSITY,1,DEED,07/30/1973,True
New York University,Manhattan,1373,1393,425,MAIN STREET,NEW YORK UNIVERSITY,1,,,True
Columbia University,Manhattan,1885,50,,,COLUMBIA UNIV IN NYCTR,2,DEED,,False
New York University,Manhattan,1373,1474,425,MAIN STREET,NEW YORK UNIVERSITY,1,,,True
Columbia University,Manhattan,35,13,,,COLUMBIA UNIVERSITYNYC,1,,,True
Columbia University,Manhattan,35,14,,,COLUMBIA UNIVERSITYNYC,1,,,True
Columbia University,Manhattan,35,24,,,COLUMBIA UNIVERSITYNYC,1,,,True
Columbia University,Manhattan,35,27,,,COLUMBIA UNIVERSITYNYC,1,,,True
Columbia University,Manhattan,35,25,,,COLUMBIA UNIVERSITYNYC,1,,,True
Columbia University,Manhattan,35,23,,,COLUMBIA UNIVERSITYNYC,1,,,True
Columbia University,Manhattan,35,22,,,COLUMBIA UNIVERSITYNYC,1,,,True
New York University,Manhattan,1373,1468,425,MAIN STREET,NEW YORK UNIVERSITY,1,DEED,10/26/2012,True
Columbia University,Bronx,2785,40,,,THE TRUSTEES OF COLUMBIA UNIVERSITY IN THE CITY OF,2,,,True
New York University,Bronx,3221,36,,,NEW YORK UNIVERSITY,1,DEED,07/30/1973,True
