CorporationName,building_address,business_address,RegistrationID,BuildingID,Boro,BoroID,Block,Lot,BIN,RegistrationContactID
TRUSTEES OF COLUMBIA UNIVERSITY,"431 RIVERSIDE DRIVE, NEW YORK, NY, 10025","400 WEST 119TH STREET, New York, NY 10027",102904,27282,MANHATTAN,1,1896,47,1057373.0,10290403
TRUSTEES OF COLUMBIA UNIVERSITY,"508 WEST 114 STREET, NEW YORK, NY, 10025","400 WEST 119TH STREET, NEW YORK, NY 10027",101086,38177,MANHATTAN,1,1885,37,1057033.0,10108603
TRUSTEES OF COLUMBIA UNIVERSITY,"552 WEST 113 STREET, NEW YORK, NY, 10025","400 WEST 119TH STREET, NEW YORK, NY 10027",111017,38091,MANHATTAN,1,1884,55,1057010.0,11101703
TRUSTEES OF COLUMBIA UNIVERSITY,"1100 AMSTERDAM AVENUE, NEW YORK, NY, 10027","400 WEST 119TH STREET, NEW YORK, NY 10027",121105,5510,MANHATTAN,1,1886,1,1083301.0,12110503
THE TRUSTEES OF COLUMBIA UNIVERSITY,"546 WEST 114 STREET, NEW YORK, NY, 10025","400 W 119 ST, NEW YORK, NY 10027",128549,38191,MANHATTAN,1,1885,55,1057045.0,12854903
PRATT INSTITUTE,"100 GRAND AVENUE, NEW YORK, NY, 11205","200 WILLOUGHBY AVENUE, Brooklyn, NY 11205",380961,302463,BROOKLYN,3,1892,61,3054560.0,38096103
PRATT INSTUTUTE FACILITIES DEPARTMENT,"100 GRAND AVENUE, NEW YORK, NY, 11205","200 WILLOUGHBY AVENUE, BROOKLYN, NY 11205",380961,302463,BROOKLYN,3,1892,61,3054560.0,38096104
TRUSTEES OF COLUMBIA UNIVERSITY,"425 WEST 121 STREET, NEW YORK, NY, 10027","400 WEST 119TH STREET, NEW YORK, NY 10027",142505,847266,MANHATTAN,1,1963,60,1087901.0,14250503
FORDHAM UNIVERSITY,"2537 CAMBRELENG AVENUE, NEW YORK, NY, 10458","2537 CAMBRELING AVE, BRONX, NY 10458",218454,54940,BRONX,2,3273,205,2016240.0,21845403
FORDHAM UNIVERSITY,"2537 CAMBRELENG AVENUE, NEW YORK, NY, 10458","441 E. FORDHAM RD, BRONX, NY 10458",218454,54940,BRONX,2,3273,205,2016240.0,21845404
TRUSTEES OF COLUMBIA UNIVERSITY,"2940 BROADWAY, NEW YORK, NY, 10027","400 WEST 119TH STREET, NEW YORK, NY 10027",121107,804141,MANHATTAN,1,1886,1,1082163.0,12110703
FORDHAM UNIVERSITY,"155 WEST 60 STREET, NEW YORK, NY, 10023","441 E. FORDHAM ROAD, Bronx, NY 10458",141089,34449,MANHATTAN,1,1132,20,1085404.0,14108903
FORDHAM UNIVERSITY,"155 WEST 60 STREET, NEW YORK, NY, 10023","441 E. FORDHAM ROAD, Bronx, NY 10458",141089,34449,MANHATTAN,1,1132,20,1085404.0,14108904
St. Johns University,"164-07 GOETHALS AVENUE, NEW YORK, NY, 11432","8000 Utopia Parkway, Jamaica, NY 11439",428264,891295,QUEENS,4,7024,31,4152191.0,42826414
NEW YORK UNIVERSITY,"435 EAST 30 STREET, NEW YORK, NY, 10016","339 EAST 28TH STREET, NEW YORK, NY 10016",142609,864764,MANHATTAN,1,962,7501,1085588.0,14260903
NEW YORK UNIVERSITY,"435 EAST 30 STREET, NEW YORK, NY, 10016","ONE PARK AVENUE APARTMENT 5-893, NEW YORK, NY 10016",142609,864764,MANHATTAN,1,962,7501,1085588.0,14260904
TRUSTEES OF COLUMBIA UNIVERSITY,"540 WEST 114 STREET, NEW YORK, NY, 10025","400 WEST 119 STREET, New York, NY 10027",611030,38188,MANHATTAN,1,1885,152,1057052.0,61103003
TRUSTEES OF COLUMBIA UNIVERSITY,"523 WEST 113 STREET, NEW YORK, NY, 10025","400 WEST 119TH STREET, NEW YORK, NY 10027",122672,38074,MANHATTAN,1,1885,20,1057027.0,12267203
